# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: D:\Desktop\TR5_D8M_HDMI\D8M_FMC.csv
# Generated on: Mon Nov 30 22:27:28 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,VCCA_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
FSM_A[12],Output,PIN_AJ11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[11],Output,PIN_AE13,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[10],Output,PIN_AF13,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[9],Output,PIN_AJ10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[8],Output,PIN_AG13,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[7],Output,PIN_AF11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[6],Output,PIN_AE12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[5],Output,PIN_AF10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[4],Output,PIN_AE10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[3],Output,PIN_AE14,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[2],Output,PIN_AD14,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[1],Output,PIN_AE11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[15],Bidir,PIN_AJ12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[14],Bidir,PIN_AM13,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[13],Bidir,PIN_AU9,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[12],Bidir,PIN_AN12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[11],Bidir,PIN_AL11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[10],Bidir,PIN_AG12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[9],Bidir,PIN_AH12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[8],Bidir,PIN_AG9,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[7],Bidir,PIN_AR13,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[6],Bidir,PIN_AL12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[5],Bidir,PIN_AR12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[4],Bidir,PIN_AV10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[3],Bidir,PIN_AK12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[2],Bidir,PIN_AG11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[1],Bidir,PIN_AH10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_D[0],Bidir,PIN_AG10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
HDMI_I2C_SCL,Bidir,PIN_AW17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_I2C_SDA,Bidir,PIN_AW16,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_I2S[3],Output,PIN_AM22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_I2S[2],Output,PIN_AV22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_I2S[1],Output,PIN_AW20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_I2S[0],Output,PIN_AR21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_LRCLK,Output,PIN_AN22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_MCLK,Output,PIN_AW21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_SCLK,Output,PIN_AY15,4C,B4C_N0,2.5 V,,,,,,,,,,,,,,
HDMI_SPDIF,Output,PIN_AP21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_CLK,Output,PIN_AY21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[23],Output,PIN_AU20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[22],Output,PIN_AV20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[21],Output,PIN_AU16,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[20],Output,PIN_AV16,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[19],Output,PIN_AJ17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[18],Output,PIN_AK17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[17],Output,PIN_AJ19,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[16],Output,PIN_AJ20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[15],Output,PIN_AU17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[14],Output,PIN_AV17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[13],Output,PIN_AL18,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[12],Output,PIN_AV19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[11],Output,PIN_AW19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[10],Output,PIN_AL19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[9],Output,PIN_BC20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[8],Output,PIN_BD20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[7],Output,PIN_BA21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[6],Output,PIN_AU21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[5],Output,PIN_AL20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[4],Output,PIN_AU22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[3],Output,PIN_AU18,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[2],Output,PIN_AM20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[1],Output,PIN_AR17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_D[0],Output,PIN_AT17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_DE,Output,PIN_AN19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_HS,Output,PIN_AP19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_INT,Input,PIN_AN20,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
HDMI_TX_VS,Output,PIN_AT21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
LED[3],Output,PIN_AH27,3D,B3D_N0,1.5 V,,,,,,,,,,,,,,
LED[2],Output,PIN_AN27,3D,B3D_N0,1.5 V,,,,,,,,,,,,,,
LED[1],Output,PIN_BA31,3C,B3C_N0,1.5 V,,,,,,,,,,,,,,
LED[0],Output,PIN_AT32,3C,B3C_N0,1.5 V,,,,,,,,,,,,,,
MIPI_CS_n,Output,PIN_AT18,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
MIPI_I2C_SCL,Bidir,PIN_AN17,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
MIPI_I2C_SDA,Bidir,PIN_AP16,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_CLK,Input,PIN_AR22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[9],Input,PIN_AG21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[8],Input,PIN_AY22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[7],Input,PIN_BA22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[6],Input,PIN_AH21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[5],Input,PIN_AG20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[4],Input,PIN_AG19,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[3],Input,PIN_BB20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[2],Input,PIN_AJ21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[1],Input,PIN_AK20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_D[0],Input,PIN_BB21,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_HS,Input,PIN_BD22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_PIXEL_VS,Input,PIN_BC22,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
MIPI_REFCLK,Output,PIN_AM19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
MIPI_RESET_n,Output,PIN_AR18,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
OSC_50_B3B,Input,PIN_AW35,3B,B3B_N0,1.5 V,,,,,,,,,,,,,,
OSC_50_B4A,Input,PIN_AP10,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
OSC_50_B4D,Input,PIN_AY18,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
OSC_50_B7A,Input,PIN_M8,7A,B7A_N0,2.5 V,,,,,,,,,,,,,,
OSC_50_B7D,Input,PIN_J18,7D,B7D_N0,2.5 V,,,,,,,,,,,,,,
OSC_50_B8A,Input,PIN_R36,8A,B8A_N0,2.5 V,,,,,,,,,,,,,,
OSC_50_B8D,Input,PIN_R25,8D,B8D_N0,2.5 V,,,,,,,,,,,,,,
POWER_MONITOR_ALERT,Input,PIN_AY9,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
SD_CLK,Output,PIN_BB39,3A,B3A_N0,2.5 V,,,,,,,,,,,,,,
SD_CMD,Bidir,PIN_BA36,3A,B3A_N0,2.5 V,,,,,,,,,,,,,,
SD_DATA[3],Bidir,PIN_AW37,3A,B3A_N0,2.5 V,,,,,,,,,,,,,,
SD_DATA[2],Bidir,PIN_BB36,3A,B3A_N0,2.5 V,,,,,,,,,,,,,,
SD_DATA[1],Bidir,PIN_AY37,3A,B3A_N0,2.5 V,,,,,,,,,,,,,,
SD_DATA[0],Bidir,PIN_AV37,3A,B3A_N0,2.5 V,,,,,,,,,,,,,,
SMA_CLKIN_p,Input,PIN_BC8,4A,B4A_N0,Differential 1.5-V HSTL Class I,,,,SMA_CLKIN_p(n),,,,,,,,,,
SMA_CLKIN_p(n),Input,,4A,B4A_N0,Differential 1.5-V HSTL Class I,,,,SMA_CLKIN_p,,,,,,,,,,
SMA_CLKOUT_p,Output,PIN_AV8,4A,B4A_N0,Differential 1.5-V HSTL Class I,,,,SMA_CLKOUT_p(n),,,,,,,,,,
SMA_CLKOUT_p(n),Output,,4A,B4A_N0,Differential 1.5-V HSTL Class I,,,,SMA_CLKOUT_p,,,,,,,,,,
SW[3],Input,PIN_AL9,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
SW[2],Input,PIN_AK9,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
SW[1],Input,PIN_AU8,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
SW[0],Input,PIN_AT9,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
TEMP_INT_n,Input,PIN_AT8,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
TEMP_OVERT_n,Input,PIN_AR9,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
TMD_D[7],Bidir,PIN_AJ16,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
TMD_D[6],Bidir,PIN_AJ15,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
TMD_D[5],Bidir,PIN_BD19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
TMD_D[4],Bidir,PIN_BC19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
TMD_D[3],Bidir,PIN_BA16,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
TMD_D[2],Bidir,PIN_BB18,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
TMD_D[1],Bidir,PIN_AR19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
TMD_D[0],Bidir,PIN_AP18,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
UART_RX,Input,PIN_T25,8D,B8D_N0,2.5 V,,,,,,,,,,,,,,
UART_TX,Output,PIN_T26,8D,B8D_N0,2.5 V,,,,,,,,,,,,,,
altera_reserved_ntrst,Input,,,,,,,,,,,,,,,,,,
altera_reserved_tck,Input,,,,,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,,,,,,,,,,,,,,,
SSRAM_ADV,Unknown,PIN_BC26,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
SSRAM_BWA_n,Unknown,PIN_AY25,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
SSRAM_BWB_n,Unknown,PIN_BA24,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
SSRAM_CE_n,Unknown,PIN_AP24,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
SSRAM_CKE_n,Unknown,PIN_AW24,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
SSRAM_CLK,Unknown,PIN_AP13,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
SSRAM_OE_n,Unknown,PIN_AU10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
SSRAM_WE_n,Unknown,PIN_AV11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FLASH_ADV_n,Unknown,PIN_BD26,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
FLASH_CE_n,Unknown,PIN_AU24,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
FLASH_CLK,Unknown,PIN_AU11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FLASH_OE_n,Unknown,PIN_AP12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FLASH_RDY_BSY_n,Unknown,PIN_AU25,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
FLASH_RESET_n,Unknown,PIN_AV25,3E,B3E_N0,2.5 V,,,,,,,,,,,,,,
FLASH_WE_n,Unknown,PIN_AT12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
DDR3_A[0],Unknown,PIN_AM32,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[1],Unknown,PIN_AF31,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[2],Unknown,PIN_AJ33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[3],Unknown,PIN_AE31,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[4],Unknown,PIN_AP33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[5],Unknown,PIN_AG32,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[6],Unknown,PIN_AN33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[7],Unknown,PIN_AK33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[8],Unknown,PIN_AF32,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[9],Unknown,PIN_AH33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[10],Unknown,PIN_AE30,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[11],Unknown,PIN_BA33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[12],Unknown,PIN_AG33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[13],Unknown,PIN_AD32,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_A[14],Unknown,PIN_BA34,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_A[15],Unknown,PIN_AY33,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_BA[0],Unknown,PIN_AE29,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_BA[1],Unknown,PIN_AK32,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_BA[2],Unknown,PIN_AE34,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_CAS_n,Unknown,PIN_AE33,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_CK[0],Unknown,PIN_AR31,3B,B3B_N0,Differential 1.5-V SSTL Class I,,,,DDR3_CK_n[0],,,,,,,,,,
DDR3_CK[1],Unknown,PIN_AV34,3B,B3B_N0,Differential 1.5-V SSTL Class I,,,,DDR3_CK_n[1],,,,,,,,,,
DDR3_CKE[0],Unknown,PIN_AF34,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_CKE[1],Unknown,PIN_AY34,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_CK_n[0],Unknown,PIN_AR32,3B,B3B_N0,Differential 1.5-V SSTL Class I,,,,DDR3_CK[0],,,,,,,,,,
DDR3_CK_n[1],Unknown,PIN_AW33,3B,B3B_N0,Differential 1.5-V SSTL Class I,,,,DDR3_CK[1],,,,,,,,,,
DDR3_CS_n[0],Unknown,PIN_AP31,3B,B3B_N0,SSTL-15 Class I,,maximum current,,,,,,,,,,,,
DDR3_CS_n[1],Unknown,PIN_AD33,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[0],Unknown,PIN_AU32,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[1],Unknown,PIN_AU30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[2],Unknown,PIN_AK29,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[3],Unknown,PIN_BB32,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[4],Unknown,PIN_BD29,3D,B3D_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[5],Unknown,PIN_AR26,3D,B3D_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[6],Unknown,PIN_AP27,3D,B3D_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DM[7],Unknown,PIN_AJ27,3D,B3D_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[0],Unknown,PIN_AH31,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[1],Unknown,PIN_AJ31,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[2],Unknown,PIN_AN30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[3],Unknown,PIN_AP30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[4],Unknown,PIN_AH30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[5],Unknown,PIN_AJ30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[6],Unknown,PIN_AR30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[7],Unknown,PIN_AT30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[8],Unknown,PIN_AM29,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[9],Unknown,PIN_AN28,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[10],Unknown,PIN_AP28,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[11],Unknown,PIN_AR29,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[12],Unknown,PIN_AU31,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[13],Unknown,PIN_AV32,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[14],Unknown,PIN_AW32,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[15],Unknown,PIN_AV31,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[16],Unknown,PIN_AF28,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[17],Unknown,PIN_AF29,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[18],Unknown,PIN_AG30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[19],Unknown,PIN_AG29,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[20],Unknown,PIN_AG28,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[21],Unknown,PIN_AG27,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[22],Unknown,PIN_AG26,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[23],Unknown,PIN_AG25,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[24],Unknown,PIN_BC31,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[25],Unknown,PIN_BC32,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[26],Unknown,PIN_BB30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[27],Unknown,PIN_BD31,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[28],Unknown,PIN_BD32,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[29],Unknown,PIN_BA30,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
DDR3_DQ[30],Unknown,PIN_AY31,3C,B3C_N0,SSTL-15 Class I,,,,,,,,,,,,,,
